X,CH1,CH2,,
Sequence,Volt,Volt,,
283,-4.40E-01,2.16E+00,,
284,-3.60E-01,2.28E+00,,
285,-4.80E-01,2.16E+00,,
286,-4.00E-01,2.24E+00,,
287,-5.60E-01,2.12E+00,,
288,-4.80E-01,2.20E+00,,
289,-6.00E-01,2.08E+00,,
290,-5.20E-01,2.08E+00,,
291,-6.80E-01,2.16E+00,,
292,-6.00E-01,2.16E+00,,
293,-7.20E-01,2.04E+00,,
294,-6.40E-01,2.12E+00,,
295,-7.60E-01,2.00E+00,,
296,-6.80E-01,2.08E+00,,
297,-8.40E-01,1.96E+00,,
298,-7.60E-01,2.04E+00,,
299,-8.80E-01,1.92E+00,,
300,-8.00E-01,2.00E+00,,
301,-9.60E-01,1.88E+00,,
302,-8.80E-01,1.96E+00,,
303,-1.00E+00,1.84E+00,,
304,-9.20E-01,1.92E+00,,
305,-1.08E+00,1.80E+00,,
306,-1.00E+00,1.88E+00,,
307,-1.12E+00,1.76E+00,,
308,-1.16E+00,1.84E+00,,
309,-1.04E+00,1.72E+00,,
310,-1.08E+00,1.80E+00,,
311,-1.24E+00,1.68E+00,,
312,-1.16E+00,1.76E+00,,
313,-1.28E+00,1.64E+00,,
314,-1.32E+00,1.72E+00,,
315,-1.20E+00,1.56E+00,,
316,-1.24E+00,1.68E+00,,
317,-1.40E+00,1.52E+00,,
318,-1.32E+00,1.60E+00,,
319,-1.48E+00,1.48E+00,,
320,-1.36E+00,1.56E+00,,
321,-1.52E+00,1.44E+00,,
322,-1.44E+00,1.52E+00,,
323,-1.56E+00,1.40E+00,,
324,-1.48E+00,1.48E+00,,
325,-1.60E+00,1.32E+00,,
326,-1.52E+00,1.44E+00,,
327,-1.68E+00,1.28E+00,,
328,-1.60E+00,1.36E+00,,
329,-1.72E+00,1.24E+00,,
330,-1.64E+00,1.28E+00,,
331,-1.76E+00,1.16E+00,,
332,-1.80E+00,1.28E+00,,
333,-1.68E+00,1.12E+00,,
334,-1.72E+00,1.16E+00,,
